Lignes trouvées : 39
Ligne 0 | Rang: English(excl. creole languages) | Name: Indo-European | Native: 1,138 | Total: 1,528
Ligne 0 | Rang: Mandarin Chinese(incl. Standard Chinese but excl. other varieties) | Name: Sino-Tibetan | Native: 194 | Total: 1,184
Ligne 0 | Rang: Hindi(excl. Urdu) | Name: Indo-European | Native: 264 | Total: 609
Ligne 0 | Rang: Spanish(excl. creole languages) | Name: Indo-European | Native: 74 | Total: 558
Ligne 0 | Rang: Modern Standard Arabic(excl. dialects) | Name: Afro-Asiatic | Native: 335 | Total: 335
Ligne 0 | Rang: French(excl. creole languages) | Name: Indo-European | Native: 238 | Total: 312
Ligne 0 | Rang: Bengali | Name: Indo-European | Native: 43 | Total: 284
Ligne 0 | Rang: Portuguese(excl. creole languages) | Name: Indo-European | Native: 17 | Total: 267
Ligne 0 | Rang: Russian | Name: Indo-European | Native: 108 | Total: 253
Ligne 0 | Rang: Indonesian | Name: Austronesian | Native: 177 | Total: 252
Ligne 0 | Rang: Urdu(excl. Hindi) | Name: Indo-European | Native: 168 | Total: 246
Ligne 0 | Rang: Standard German | Name: Indo-European | Native: 58 | Total: 134
Ligne 0 | Rang: Japanese | Name: Japonic | Native: 2 | Total: 126
Ligne 0 | Rang: Nigerian Pidgin | Name: English Creole | Native: 116 | Total: 121
Ligne 0 | Rang: Egyptian Arabic(excl. other Arabic dialects) | Name: Afro-Asiatic | Native: 35 | Total: 119
Ligne 0 | Rang: Marathi | Name: Indo-European | Native: 16 | Total: 99
Ligne 0 | Rang: Vietnamese | Name: Austroasiatic | Native: 11 | Total: 97
Ligne 0 | Rang: Telugu | Name: Dravidian | Native: 13 | Total: 96
Ligne 0 | Rang: Hausa | Name: Afro-Asiatic | Native: 36 | Total: 94
Ligne 0 | Rang: Turkish | Name: Turkic | Native: 6 | Total: 91
Ligne 0 | Rang: Western Punjabi(excl. Eastern Punjabi) | Name: Indo-European | Native: —N/a | Total: 90
Ligne 0 | Rang: Swahili | Name: Niger–Congo | Native: 83 | Total: 87
Ligne 0 | Rang: Tagalog[b] | Name: Austronesian | Native: 54 | Total: 87
Ligne 0 | Rang: Tamil | Name: Dravidian | Native: 8 | Total: 86
Ligne 0 | Rang: Yue Chinese(incl. Cantonese) | Name: Sino-Tibetan | Native: 1 | Total: 86
Ligne 0 | Rang: Wu Chinese(incl. Shanghainese) | Name: Sino-Tibetan | Native: <1 | Total: 83
Ligne 0 | Rang: Iranian Persian(excl. other Persian dialects) | Name: Indo-European | Native: 17 | Total: 83
Ligne 0 | Rang: Korean | Name: Koreanic | Native: <1 | Total: 82
Ligne 0 | Rang: Thai | Name: Kra–Dai | Native: 44 | Total: 71
Ligne 0 | Rang: Javanese | Name: Austronesian | Native: —N/a | Total: 69
Ligne 0 | Rang: Italian | Name: Indo-European | Native: 3 | Total: 66
Ligne 0 | Rang: Gujarati | Name: Indo-European | Native: 5 | Total: 62
Ligne 0 | Rang: Levantine Arabic(excl. other Arabic dialects) | Name: Afro-Asiatic | Native: 3 | Total: 60
Ligne 0 | Rang: Amharic | Name: Afro-Asiatic | Native: 25 | Total: 60
Ligne 0 | Rang: Kannada | Name: Dravidian | Native: 15 | Total: 59
Ligne 0 | Rang: Bhojpuri | Name: Indo-European | Native: <1 | Total: 53
Ligne 0 | Rang: Sudanese Arabic(excl. other Arabic dialects) | Name: Afro-Asiatic | Native: 11 | Total: 52
